Energy [keV],Absolute Efficiency [%]
100,0.740942;0.7496;0.758258
150,1.1986;1.2096;1.2206
200,1.38239;1.3942;1.40601
250,2.06508;2.0795;2.09392
300,3.61344;3.6325;3.65156
350,2.94409;2.9613;2.97851
400,3.52178;3.5406;3.55942
450,4.96896;4.9913;5.01364
500,7.51923;7.5467;7.57417
550,7.93338;7.9616;7.98982
600,7.35433;7.3815;7.40867
650,8.59443;8.6238;8.65317
700,9.7016;9.7328;9.764
750,9.97936;10.011;10.0426
800,9.98605;10.0177;10.0494
850,9.80693;9.8383;9.86967
900,9.61983;9.6509;9.68197
950,9.28428;9.3148;9.34532
1000,9.10917;9.1394;9.16963
1050,8.48981;8.519;8.54819
1100,8.31132;8.3402;8.36908
1150,7.7021;7.7299;7.7577
1200,7.29794;7.325;7.35206
1250,6.70775;6.7337;6.75965
1300,6.36352;6.3888;6.41408
1350,5.94128;5.9657;5.99012
1400,5.2673;5.2903;5.3133
1450,4.67892;4.7006;4.72228
1500,4.09192;4.1122;4.13248
1550,3.65433;3.6735;3.69267
1600,3.2959;3.3141;3.3323
1650,2.9402;2.9574;2.9746
1700,2.56135;2.5774;2.59345
1750,2.28314;2.2983;2.31346
1800,1.99064;2.0048;2.01896
1850,1.77602;1.7894;1.80278
1900,1.59632;1.609;1.62168
1950,1.45329;1.4654;1.47751
2000,0;0;0
