Energy [keV],Absolute Efficiency [%]
100,0.0644116;0.067;0.0695884
150,0.0993969;0.1026;0.105803
200,0.116733;0.1202;0.123667
250,0.180205;0.1845;0.188795
300,0.294919;0.3004;0.305881
350,0.24302;0.248;0.25298
400,0.307108;0.3127;0.318292
450,0.476547;0.4835;0.490453
500,0.681296;0.6896;0.697904
550,0.723245;0.7318;0.740355
600,0.731994;0.7406;0.749206
650,0.886534;0.896;0.905466
700,0.938761;0.9485;0.958239
750,0.948312;0.9581;0.967888
800,0.940154;0.9499;0.959646
850,0.892801;0.9023;0.911799
900,0.867138;0.8765;0.885862
950,0.806768;0.8158;0.824832
1000,0.762816;0.7716;0.780384
1050,0.687657;0.696;0.704343
1100,0.64313;0.6512;0.65927
1150,0.571589;0.5792;0.586811
1200,0.504745;0.5119;0.519055
1250,0.428901;0.4355;0.442099
1300,0.375621;0.3818;0.387979
1350,0.34686;0.3528;0.35874
1400,0.3306;0.3364;0.3422
1450,0.303639;0.3092;0.314761
1500,0.276095;0.2814;0.286705
1550,0.238565;0.2435;0.248435
1600,0.217981;0.2227;0.227419
1650,0.183368;0.1877;0.192032
1700,0.166964;0.1711;0.175236
1750,0.141291;0.1451;0.148909
1800,0.134482;0.1382;0.141918
1850,0.119394;0.1229;0.126406
1900,0.110821;0.1142;0.117579
1950,0.107077;0.1104;0.113723
2000,0;0;0
