Energy [keV],Absolute Efficiency [%]
100,0.0727523;0.0755;0.0782477
150,0.117817;0.1213;0.124783
200,0.135765;0.1395;0.143235
250,0.225798;0.2306;0.235402
300,0.314145;0.3198;0.325455
350,0.398934;0.4053;0.411666
400,0.413023;0.4195;0.425977
450,0.426817;0.4334;0.439983
500,1.10205;1.1126;1.12315
550,0.75337;0.7621;0.77083
600,0.757646;0.7664;0.775154
650,0.822182;0.8313;0.840418
700,0.943039;0.9528;0.962561
750,1.12574;1.1364;1.14706
800,1.37532;1.3871;1.39888
850,2.15686;2.1716;2.18634
900,1.60697;1.6197;1.63243
950,1.21622;1.2273;1.23838
1000,0.976369;0.9863;0.996231
1050,0.802989;0.812;0.821011
1100,0.703065;0.7115;0.719935
1150,0.547054;0.5545;0.561946
1200,0.444582;0.4513;0.458018
1250,0.381473;0.3877;0.393927
1300,0.323462;0.3292;0.334938
1350,0.264903;0.2701;0.275297
1400,0.21897;0.2237;0.22843
1450,0.183565;0.1879;0.192235
1500,0.155803;0.1598;0.163797
1550,0.153729;0.1577;0.161671
1600,0.0882784;0.0913;0.0943216
1650,0.03839;0.0404;0.04241
1700,0.0254538;0.0271;0.0287462
2000,0;0;0
