Energy [keV],Absolute Efficiency [%]
100,0.00438586;0.0051;0.00581414
150,0.00653977;0.0074;0.00826023
200,0.00919005;0.0102;0.01121
250,0.0183929;0.0198;0.0212071
300,0.0310862;0.0329;0.0347138
350,0.0418048;0.0439;0.0459952
400,0.0195509;0.021;0.0224491
450,0.0319615;0.0338;0.0356385
500,0.0637251;0.0663;0.0688749
550,0.0549063;0.0573;0.0596937
600,0.038;0.04;0.042
650,0.0271029;0.0288;0.0304971
700,0.0216768;0.0232;0.0247232
750,0.0452228;0.0474;0.0495772
800,0.322075;0.3278;0.333525
850,0.158765;0.1628;0.166835
900,0.0944759;0.0976;0.100724
950,0.0534378;0.0558;0.0581622
1000,0.0322534;0.0341;0.0359466
1050,0.0206134;0.0221;0.0235866
1100,0.0190682;0.0205;0.0219318
1150,0.0189717;0.0204;0.0218283
1200,0.0174289;0.0188;0.0201711
1250,0.0175252;0.0189;0.0202748
1300,0.0200337;0.0215;0.0229663
1350,0.0251629;0.0268;0.0284371
1400,0.0258417;0.0275;0.0291583
1450,0.0122424;0.0134;0.0145576
1500,0.00475838;0.0055;0.00624162
1550,0.0032755;0.0039;0.0045245
2000,0;0;0
