Temperature,Resistance
-200,18.52
-195,20.68
-190,22.83
-185,24.97
-180,27.1
-175,29.22
-170,31.33
-165,33.44
-160,35.54
-155,37.64
-150,39.72
-145,41.8
-140,43.88
-135,45.94
-130,48
-125,50.06
-120,52.11
-115,54.15
-110,56.19
-105,58.23
-100,60.26
-95,62.28
-90,64.3
-85,66.31
-80,68.33
-75,70.33
-70,72.33
-65,74.33
-60,76.33
-55,78.32
-50,80.31
-45,82.29
-40,84.27
-35,86.25
-30,88.22
-25,90.19
-20,92.16
-15,94.12
-10,96.09
-5,98.04
0,100
5,101.95
10,103.9
15,105.85
20,107.79
25,109.73
30,111.67
35,113.61
40,115.54
45,117.47
50,119.4
55,121.32
60,123.24
65,125.16
70,127.08
75,128.99
80,130.9
85,132.8
90,134.71
95,136.61
100,138.51
105,140.4
110,142.29
115,144.18
120,146.07
125,147.95
130,149.83
135,151.71
140,153.58
145,155.46
150,157.33
155,159.19
160,161.05
165,162.91
170,164.77
175,166.63
180,168.48
185,170.33
190,172.17
195,174.02
200,175.86
205,177.69
210,179.53
215,181.36
220,183.19
225,185.01
230,186.84
235,188.66
240,190.47
245,192.29
250,194.1
255,195.91
260,197.71
265,199.51
270,201.31
275,203.11
280,204.9
285,206.7
290,208.48
295,210.27
300,212.05
305,213.83
310,215.61
315,217.38
320,219.15
325,220.92
330,222.69
335,224.45
340,226.21
345,227.96
350,229.72
355,231.47
360,233.21
365,234.96
370,236.7
375,238.44
380,240.18
385,241.91
390,243.64
395,245.37
400,247.09
405,248.81
410,250.53
415,252.25
420,253.96
425,255.67
430,257.38
435,259.08
440,260.78
445,262.48
450,264.18
455,265.87
460,267.56
465,269.25
470,270.93
475,272.61
480,274.29
485,275.97
490,277.64
495,279.31
500,280.98
505,282.64
510,284.3
515,285.96
520,287.62
525,289.27
530,290.92
535,292.56
540,294.21
545,295.85
550,297.49
555,299.12
560,300.75
565,302.38
570,304.01
575,305.63
580,307.25
585,308.87
590,310.49
595,312.1
600,313.71
605,315.31
610,316.92
615,318.52
620,320.12
625,321.71
630,323.3
635,324.89
640,326.48
645,328.06
650,329.64
655,331.22
660,332.79
